height,time,diff
594343,1568201368,10771996663680.4
594344,1568202188,10771996663680.4
594345,1568202802,10771996663680.4
594346,1568203499,10771996663680.4
594347,1568206648,10771996663680.4
594348,1568207520,10771996663680.4
594349,1568207772,10771996663680.4
594350,1568207938,10771996663680.4
594351,1568209446,10771996663680.4
594352,1568210541,10771996663680.4
594353,1568211443,10771996663680.4
594354,1568212078,10771996663680.4
594355,1568212162,10771996663680.4
594356,1568212512,10771996663680.4
594357,1568213518,10771996663680.4
594358,1568214478,10771996663680.4
594359,1568214660,10771996663680.4
594360,1568214841,10771996663680.4
594361,1568215285,10771996663680.4
594362,1568215348,10771996663680.4
594363,1568215939,10771996663680.4
594364,1568216877,10771996663680.4
594365,1568217362,10771996663680.4
594366,1568217697,10771996663680.4
594367,1568217714,10771996663680.4
594368,1568217734,10771996663680.4
594369,1568219073,10771996663680.4
594370,1568219484,10771996663680.4
594371,1568220042,10771996663680.4
594372,1568220076,10771996663680.4
594373,1568221527,10771996663680.4
594374,1568223274,10771996663680.4
594375,1568223647,10771996663680.4
594376,1568223924,10771996663680.4
594377,1568224073,10771996663680.4
594378,1568224676,10771996663680.4
594379,1568225503,10771996663680.4
594380,1568225720,10771996663680.4
594381,1568226143,10771996663680.4
594382,1568226645,10771996663680.4
594383,1568226975,10771996663680.4
594384,1568227961,10771996663680.4
594385,1568228053,10771996663680.4
594386,1568228336,10771996663680.4
594387,1568228634,10771996663680.4
594388,1568228693,10771996663680.4
594389,1568229174,10771996663680.4
594390,1568229903,10771996663680.4
594391,1568230057,10771996663680.4
594392,1568230132,10771996663680.4
594393,1568230733,10771996663680.4
594394,1568230834,10771996663680.4
594395,1568231125,10771996663680.4
594396,1568231174,10771996663680.4
594397,1568231734,10771996663680.4
594398,1568232206,10771996663680.4
594399,1568232373,10771996663680.4
594400,1568232787,10771996663680.4
594401,1568232823,10771996663680.4
594402,1568233611,10771996663680.4
594403,1568234122,10771996663680.4
594404,1568234538,10771996663680.4
594405,1568234573,10771996663680.4
594406,1568235054,10771996663680.4
594407,1568236034,10771996663680.4
594408,1568236047,10771996663680.4
594409,1568236140,10771996663680.4
594410,1568236648,10771996663680.4
594411,1568237210,10771996663680.4
594412,1568237289,10771996663680.4
594413,1568237290,10771996663680.4
594414,1568237729,10771996663680.4
594415,1568238163,10771996663680.4
594416,1568238338,10771996663680.4
594417,1568239328,10771996663680.4
594418,1568239369,10771996663680.4
594419,1568239728,10771996663680.4
594420,1568239814,10771996663680.4
594421,1568240076,10771996663680.4
594422,1568240734,10771996663680.4
594423,1568241426,10771996663680.4
594424,1568241449,10771996663680.4
594425,1568241539,10771996663680.4
594426,1568241879,10771996663680.4
594427,1568241908,10771996663680.4
594428,1568243018,10771996663680.4
594429,1568243070,10771996663680.4
594430,1568244030,10771996663680.4
594431,1568244556,10771996663680.4
594432,1568244824,10771996663680.4
594433,1568245468,10771996663680.4
594434,1568245579,10771996663680.4
594435,1568245645,10771996663680.4
594436,1568246050,10771996663680.4
594437,1568246411,10771996663680.4
594438,1568246630,10771996663680.4
594439,1568247015,10771996663680.4
594440,1568247329,10771996663680.4
594441,1568250006,10771996663680.4
594442,1568250124,10771996663680.4
594443,1568250249,10771996663680.4
594444,1568251079,10771996663680.4
594445,1568251330,10771996663680.4
594446,1568251906,10771996663680.4
594447,1568253001,10771996663680.4
594448,1568253392,10771996663680.4
594449,1568253520,10771996663680.4
594450,1568254224,10771996663680.4
594451,1568255166,10771996663680.4
594452,1568255365,10771996663680.4
594453,1568255747,10771996663680.4
594454,1568256199,10771996663680.4
594455,1568257747,10771996663680.4
594456,1568258828,10771996663680.4
594457,1568259011,10771996663680.4
594458,1568259160,10771996663680.4
594459,1568261590,10771996663680.4
594460,1568261704,10771996663680.4
594461,1568262823,10771996663680.4
594462,1568262857,10771996663680.4
594463,1568263176,10771996663680.4
594464,1568263800,10771996663680.4
594465,1568264404,10771996663680.4
594466,1568264511,10771996663680.4
594467,1568264599,10771996663680.4
594468,1568264941,10771996663680.4
594469,1568265173,10771996663680.4
